Vanilla-Style Recolors:

Player: 5553FF7FFF5B1D43F431F57FF07EE760F627B11E8E7FC87D1D4736324E1DA514

Enemy: 5553FF7FFF5B1D43F4315F57BD1D1004F56E2C56FF2539041D4736324E1DA514

NPC: 5553FF7FFF5B1D43F431FB5B6823E61D7F159604E71B281F1D4736324E1DA514

Fourth: 5553FF7FFF5B1D43F4317B73B45A4A3DBF1B9E1A175F0F4E1D4736324E1DA514


SALVAGED Originals:

Player: 8076FF7FFF5BFE3EF431356B2B5A464110424A29895266299842B0250A19A514

Enemy: 8076FF7FFF5BFE3EF4317D4E3925D118D1350A1D3525CC187446AF2D091DA514

NPC: 8076FF7FFF5BFE3EF431534F6A2A88215A225301F43E2F261C4316264E19A514

Fourth: 8076FF7FFF5BFE3EF431BA76B3592D3133524C35D1450B299C73D356AC35A514
